type	description	date	minutes after sample preparation	lens	extract	comments	filename
statistics	standard	22/12/16	40	40x	rambam5		Z:\analysis\Niv\adams visit\symmetry breaking analysis\2016_12_22\control 80percent_extract + XB +LA-GFP-Emix\sample1\analysis_data_montage40m_oop.mat
statistics	standard	22/12/16	40	40x	rambam5		Z:\analysis\Niv\adams visit\symmetry breaking analysis\2016_12_22\control 80percent_extract + XB +LA-GFP-Emix\sample2\analysis_data_montage40m_oop.mat
statistics	standard	31/1/17	40	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2017_01_31\control 80percent_extract + LA-GFP\sample1\analysis_data_40m.mat
statistics	standard	31/1/17	45	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2017_01_31\control 80percent_extract + LA-GFP\sample2\analysis_data_45m.mat
statistics	ActA	27/10/16	60	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2016_10_27\80percent_extract 0.5muM_LA-GFP ActA\analysis_data_montage60m_oop.mat
statistics	Abp1 + Srv2	7/12/16	40	40x	rambam5		Z:\analysis\Niv\adams visit\symmetry breaking analysis\2016_12_07\Srv2_2muM+Abp1_2muM\analysis_data_montage40m_oop.mat
statistics	ActA + Abp1 + Srv2	7/12/16	45	40x	rambam5		Z:\analysis\Niv\adams visit\symmetry breaking analysis\2016_12_07\ActA+srv2+Abp1\analysis_data_montage40m_oop.mat
statistics	CCA	30/10/16	45	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2016_10_30\80P_extract Cor+Cof_AIP1 LA-GFP\mix1 sample1 time09_55\analysis_data_montage45m_oop.mat
statistics	CCA	30/10/16	40	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2016_10_30\80P_extract Cor+Cof_AIP1 LA-GFP\mix1 sample2 time11_35\analysis_data_montage45m_oop.mat
statistics	TPM 3.1	27/10/16	45	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2016_10_27\80percent_extract 0.5muM_LA-GFP 3.3muM_TPM3.1\analysis_data_montage45m_oop.mat
statistics	TPM 3.1 + KCl	1/11/16	45	40x	rambam5		Z:\analysis\Niv\rambam5 extract\symmetry breaking analysis\2016_11_01\3muM_TPM3.1 30mM_KCl\analysis_data_montage45m_oop.mat
